コード,銘柄名,対象外,IRニュースURL,備考,出来高13万以上かつ株価100円以上
1719,（株）安藤・間,,https://www.ad-hzm.co.jp/ir/ir_news/,,1
1720,東急建設,,https://www.tokyu-cnst.co.jp/ir/news/,,1
1721,コムシスホールディングス,,https://www.comsys-hd.co.jp/ir/index/index.php,,1
1723,日本電技,,https://www.nihondengi.co.jp/ir/news/,,0
1724,シンクレイヤ,,https://www.synclayer.co.jp/ir/news/,,0
1726,ビーアールホールディングス,,https://www.brhd.co.jp/ja/ir.html,,0
1730,麻生フォームクリート,,https://www.asofoam.co.jp/ir/news.php,,0
1734,北弘電社,,https://www.kitakoudensha.co.jp/news/,,0
1736,オーテック,,https://www.o-tec.co.jp/ir/news.shtml,,0
1738,ＮＩＴＴＯＨ,,http://www.nittoh-info.co.jp/ir/library.php,,0
1739,（株）メルディアＤＣ,,https://meldia-dc.co.jp/ir/ir_library/info/newtopic/,,0
1743,コーアツ工業,,https://www.koatsuind.co.jp/info/ir-news/,,0
1757,中小企業ホールディングス,,https://chusho-hd.co.jp/ir/,,0
1758,太洋基礎工業,,http://taiyoukiso.co.jp/ir/,,0
1762,（株）高松コンストラクショングループ,,https://www.takamatsu-cg.co.jp/ir/library/,,0
1764,工藤建設,,https://www.kudo.co.jp/ir/epn/,URL情報解析難しい,0
1766,東建コーポレーション,,https://www.token.co.jp/ir/,,0
1768,ソネック,,https://www.sonec-const.co.jp/ir/news.html,,0
1770,藤田エンジニアリング,,https://www.fujita-eng.co.jp/ir/,,0
1771,日本乾溜工業,,http://www.kanryu.co.jp/ir/,,0
1773,ワイ・ティー・エル・コーポレーション,,https://irbank.net/1773/ir,,0
1775,富士古河Ｅ＆Ｃ,,https://www.ffec.co.jp/ir/,,0
1776,三井住建道路,,https://www.smrc.co.jp/ir/ir_news.html,,0
1777,川崎設備工業,,http://www.kawasaki-sk.co.jp/investor/library/news/,,0
1780,ヤマウラ,,https://yamaura.co.jp/ir/ir-news/,,0
1783,（株）アジアゲートホールディングス,,https://asiagateholdings.jp/ir/,,0
1786,オリエンタル白石,,https://www.orsc.co.jp/ir/,,1
1787,ナカボーテック,,https://www.nakabohtec.co.jp/ir/index.html,URL情報解析難しい,0
1788,三東工業社,,https://www.santo.co.jp/ir/ir_kessan,,0
1789,（株）ＥＴＳホールディングス,,https://ets-holdings.co.jp/ir-news-2/,,0
1793,大本組,,https://www.ohmoto.co.jp/kessan/sonotakaiji.html,,0
1795,マサル,,https://www.masaru-co.jp/ir/#irinfo,,0
1798,守谷商会,,https://www.moriya-s.co.jp/pages/72/,,0
1799,第一建設工業,,https://www.daiichi-kensetsu.co.jp/ir/news/,,0
1801,大成建設,,https://www.taisei.co.jp/about_us/ir/wn.html,,1
1802,大林組,,https://www.obayashi.co.jp/ir/,,1
1803,清水建設,,https://www.shimz.co.jp/company/ir/news/,,1
1805,飛島建設,,https://www.tobishima.co.jp/ir/ir_news/2022.html,,0
1807,（株）佐藤渡辺,,http://www.watanabesato.co.jp/news_category/ir/,,0
1808,長谷工コーポレーション,,https://www.haseko.co.jp/hc/ir/,,1
1810,松井建設,,https://www.matsui-ken.co.jp/press,,0
1811,錢高組,,https://www.zenitaka.co.jp/ir/,,0
1812,鹿島建設,,https://www.kajima.co.jp/ir/news/index-j.html,,1
1813,（株）不動テトラ,,https://www.fudotetra.co.jp/ir/ir-news/,,0
1814,大末建設,,https://www.daisue.co.jp/ir/irnews/,,0
1815,鉄建建設,,https://www.tekken.co.jp/ir/,,0
1820,西松建設,,https://www.nishimatsu.co.jp/ir/news/,,1
1821,三井住友建設,,https://www.smcon.co.jp/investor/ir-news/,,1
1822,大豊建設,,https://www.daiho.co.jp/ir/news/,,0
1826,佐田建設,,https://www.sata.co.jp/ir/ir-news,,0
1827,ナカノフドー建設,,https://www.wave-nakano.co.jp/ir/news/,,0
1828,田辺工業,,https://www.tanabe-ind.co.jp/ir/,,0
1832,北海電気工事,,https://www.hokkaidenki.co.jp/ir/,,0
1833,奥村組,,http://www.okumuragumi.co.jp/ir/news/,,0
1835,東鉄工業,,https://www.totetsu.co.jp/ir/,,0
1840,（株）土屋ホールディングス,,https://www.tsuchiya.co.jp/ir/news/,,0
1841,サンユー建設,,https://www.sanyu-co.co.jp/corporate_guide/ir,URL情報解析難しい,0
