コード,銘柄名,対象外,IRニュースURL,備考,出来高13万以上かつ株価100円以上
3561,（株）力の源ホールディングス,,https://www.chikaranomoto.com/ir/news/,,1
3562,（株）Ｎｏ．１,,https://ir.number-1.co.jp/ja/ir/news.html,,0
3563,ＦＯＯＤ＆ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,,https://food-and-life.co.jp/financial/news/,,1
3565,アセンテック,,https://www.ascentech.co.jp/ir/results_press.html,,0
3566,ユニフォームネクスト,,https://uniformnext.co.jp/ir/,,0
3569,セーレン,,https://www.seiren.com/invest/ir-news/,,0
3571,ソトー,,https://www.sotoh.co.jp/cgi-bin/news.cgi?mode=list,,0
3577,東海染工,,https://www.tokai-senko.co.jp/topics/,,0
3578,倉庫精練,,https://www.soko.co.jp/ir/,,0
3580,小松マテーレ,,https://www.komatsumatere.co.jp/ir/ir_news/,,0
3583,オーベクス,,https://www.aubex.co.jp/ir/,,0
3591,（株）ワコールホールディングス,,https://www.wacoalholdings.jp/ir/topics/,,1
3593,ホギメディカル,,https://www.hogy.co.jp/ir/index.html,微妙,0
3597,自重堂,,https://www.jichodo.co.jp/ir/,,0
3598,山喜,,https://www.e-yamaki.co.jp/ir/#topNews,,0
3600,フジックス,,https://www.fjx.co.jp/ir/library.html,微妙,0
3604,川本産業,,https://www.kawamoto-sangyo.co.jp/ir-info/,,0
3607,（株）クラウディアホールディングス,,https://www.kuraudia.holdings/ir/press.html,,0
3608,（株）ＴＳＩホールディングス,,https://www.tsi-holdings.com/press.html,,1
3611,（株）マツオカコーポレーション,,https://www.matuoka.co.jp/news/?id=ir-news,,0
3612,（株）ワールド,,https://corp.world.co.jp/ir/news/,,0
3622,ネットイヤーグループ,,https://www.netyear.net/ir/ir_news.html,,0
3623,ビリングシステム,,https://www.billingsystem.co.jp/corpinfo/news.html,,0
3624,アクセルマーク,,https://www.axelmark.co.jp/ir/library/disclosure.html,,1
3625,テックファームホールディングス,,https://www.techfirm-hd.com/ir/news,,0
3626,ＴＩＳ,,https://www.tis.co.jp/ir/news/,,1
3627,ＪＮＳホールディングス,,https://www.jns.inc/ir/news/,,0
3628,（株）データホライゾン,,https://www.dhorizon.co.jp/ir/,,0
3632,グリー,,https://corp.gree.net/jp/ja/ir/news.html,,1
3633,ＧＭＯペパボ,,https://pepabo.com/ir/library/archives/,,0
3634,（株）ソケッツ,,https://www.sockets.co.jp/ir/news.html,,0
3635,（株）コーエーテクモホールディングス,,https://www.koeitecmo.co.jp/ir/ir-news/,,1
3636,（株）三菱総合研究所,,https://ir.mri.co.jp/ja/news.html,,0
3639,（株）ボルテージ,,https://www.voltage.co.jp/ir/news.html,,0
3640,（株）電算,,https://www.ndensan.co.jp/ir/,,0
3641,（株）パピレス,,https://papy.co.jp/ir/sc/index/ir_news.html,,0
3645,（株）メディカルネット,,https://www.medical-net.com/news/,,0
3646,（株）駅探,,https://ekitan.co.jp/ir/irnews/,,0
3647,（株）ジー・スリーホールディングス,,https://www.g3holdings.com/investor/ir_news/,,0
3648,ＡＧＳ,,https://www.ags.co.jp/ir/news/index.html,,0
3649,（株）ファインデックス,1,,,
3652,ディジタルメディアプロフェッショナル,,https://www.dmprof.com/ja/ir/news/,,0
3653,（株）モルフォ,,https://www.morphoinc.com/ir/news,,0
3655,（株）ブレインパッド,,https://www.brainpad.co.jp/ir/news.html,,0
3656,ＫＬａｂ,,https://www.klab.com/jp/ir/ir-news/,,1
3657,ポールトゥウィンホールディングス,,https://www.ir.phd.inc/news/index.html,,0
3659,（株）ネクソン,,https://company.nexon.co.jp/press/index.html,,1
3660,（株）アイスタイル,,https://www.istyle.co.jp/ir/news/,,1
3661,（株）エムアップホールディングス,,https://m-upholdings.co.jp/ir_financer/news/,,1
3662,（株）エイチーム,,https://www.a-tm.co.jp/ir/news/,,0
3663,（株）セルシス,,https://www.celsys.com/irinfo/,,1
3664,（株）モブキャストホールディングス,,https://mobcast.co.jp/ir/irnews/,,0
3665,（株）エニグモ,,https://enigmo.co.jp/ir/ir-news/,,1
3666,（株）テクノスジャパン,,https://www.tecnos.co.jp/ir/release/,,0
3667,（株）ｅｎｉｓｈ,,https://www.enish.jp/ir/info/,,1
3668,（株）コロプラ,,https://colopl.co.jp/ir/news/,,1
3670,協立情報通信,,https://www.kccnet.co.jp/ir/irnews.html,,1
3671,ソフトマックス,,http://www.s-max.co.jp/ir/irnews.html,,0
3672,（株）オルトプラス,,https://www.altplus.co.jp/ir_news,,0
3673,（株）ブロードリーフ,,https://www.broadleaf.co.jp/ir/news/,,0
3674,（株）オークファン,,https://aucfan.co.jp/ir/news/index.php,,0
3675,（株）クロス・マーケティンググループ,,https://www.cm-group.co.jp/ir/release/,,1
3676,（株）デジタルハーツホールディングス,,https://www.digitalhearts-hd.com/ir/news/,,0
3677,（株）システム情報,,https://www.sysj.co.jp/ir/ir/ir,,0
3678,（株）メディアドゥ,,https://mediado.jp/ir/news/,,0
3679,（株）じげん,,https://zigexn.co.jp/ir/ir_news/,,1
3680,（株）ホットリンク,,https://www.hottolink.co.jp/ir/irnews/,,0
3681,（株）ブイキューブ,,https://ir.vcube.com/jp/news,,1
3682,エンカレッジ・テクノロジ,,https://www.et-x.jp/ir/news/,,0
3683,（株）サイバーリンクス,,https://www.cyber-l.co.jp/ir/ir-news/,,0
3686,（株）ディー・エル・イー,,https://www.dle.jp/jp/ir/irnews.html,,1
3687,（株）フィックスターズ,,https://www.fixstars.com/ja/ir/news,,1
3688,（株）ＣＡＲＴＡ　ＨＯＬＤＩＮＧＳ,,https://cartaholdings.co.jp/ir/ir-news/,,0
3690,（株）イルグルム,,https://www.yrglm.co.jp/ir/irnews/,,0
3691,（株）デジタルプラス,,https://digital-plus.co.jp/irnews/,,0
3692,（株）ＦＦＲＩセキュリティ,,https://www.ffri.jp/company/ir/news.htm,,0
3694,（株）オプティム,,https://www.optim.co.jp/investors/irnews,,0
3695,ＧＭＯリサーチ,,https://gmo-research.jp/ir/backno.html,,0
3696,（株）セレス,,https://ceres-inc.jp/ir/news/,,1
3697,（株）ＳＨＩＦＴ,,https://www.shiftinc.jp/ir/news/,,1
3698,（株）ＣＲＩ・ミドルウェア,,https://www.cri-mw.co.jp/ir/irnews/,,0
3708,特種東海製紙,,https://www.tt-paper.co.jp/category/ir/,,0
3710,ジョルダン,,https://www.jorudan.co.jp/ir/data/ir/ir_news/ir_news2023.html,2023年用,0
3712,情報企画,,https://www.jyohokikaku.co.jp/ir/press_settlement,,0
3719,（株）ジェクシード,,https://www.gexeed.co.jp/ir_info/ir_library/library_release_/,微妙,1
3723,日本ファルコム,,https://www.falcom.co.jp/archives/ir_type/release,,0
3726,（株）フォーシーズＨＤ,,https://www.4cs-holdings.co.jp/?post_type=news,,0
3727,（株）アプリックス,,https://www.aplix.co.jp/?cat=4,,0
3733,ソフトウェア・サービス,,https://www.softs.co.jp/ir/news.html,,0
3738,（株）ティーガイア,,https://www.t-gaia.co.jp/ir/news/,,0
3739,コムシード,,https://www.commseed.net/ir/news/,,0
3741,セック,,https://www.sec.co.jp/ja/ir/news.html,,0
3744,サイオス,,https://www.sios.com/ja/ir/news/,,0
3747,（株）インタートレード,,https://www.itrade.co.jp/ir/irnews,,0
3750,（株）サイトリ細胞研究所,,https://cytori.co.jp/category/ir/,,0
3753,（株）フライトホールディングス,,https://www.flight-hd.co.jp/ir/news.html,,0
3758,（株）アエリア,,https://www.aeria.jp/ir/release,,0
3760,（株）ケイブ,,https://www.cave.co.jp/ir/news/,,0
3762,テクマトリックス,,https://www.techmatrix.co.jp/ir/release.html,,0
3763,（株）プロシップ,,https://www.proship.co.jp/ir/ir-bn/,,0
3765,ガンホー・オンライン・エンターテイメント,,https://www.gungho.co.jp/jp/ir/ir-news/,,1
3766,システムズ・デザイン,,https://www.sdcj.co.jp/ir/ir_news.html,,0
3768,リスクモンスター,,https://www.riskmonster.co.jp/corporate/ir/news/,,0
3769,ＧＭＯペイメントゲートウェイ,,https://www.gmo-pg.com/corp/newsroom/ir/,,1
3770,（株）ザッパラス,,https://www.zappallas.com/ir/news/,,0
3771,（株）システムリサーチ,,https://www.sr-net.co.jp/ir/news/,,0
3772,ウェルス・マネジメント,,https://www.wealth-mngt.com/ir/news_release.html,,0
3773,（株）アドバンスト・メディア,,https://www.advanced-media.co.jp/ir/irnews,,0
3774,（株）インターネットイニシアティブ,,https://www.iij.ad.jp/ir/news/2023/index.html,2023年用,1
3775,（株）ガイアックス,,https://ir.gaiax.co.jp/irnews/,,0
3776,（株）ブロードバンドタワー,,https://www.bbtower.co.jp/ir/topics/,,1
3777,（株）ＦＨＴホールディングス,,https://www.fht-hd.com/info-cat/ir-news,,0
3778,さくらインターネット,,https://www.sakura.ad.jp/ir/news.html,,0
3779,ジェイ・エスコム　ホールディングス,,http://www.j-escom.co.jp/ir_library.html,,0
3782,（株）ディー・ディー・エス,,https://www.dds.co.jp/ja/ir/,,0
3784,（株）ヴィンクス,,https://www.vinx.co.jp/ir/,,0
3787,（株）テクノマセマティカル,,https://www.tmath.co.jp/ir/pressrelease/,,0
3788,ＧＭＯグローバルサイン・ホールディングス,,https://www.gmogshd.com/news/ir/,,0
3791,（株）ＩＧポート,,http://www.igport.co.jp/ir/release.html,,0
3793,（株）ドリコム,,https://drecom.co.jp/ir/news/,,1
3796,（株）いい生活,,https://www.e-seikatsu.info/IR/list.html,,0
3798,ＵＬＳグループ,,https://www.ulsgroup.co.jp/ir_data/ir_news/,,0
3799,キーウェアソリューションズ,,https://www.keyware.co.jp/ir/news/index2023.html,2023年用,0
3800,（株）ユニリタ,,https://www.unirita.co.jp/ir/news.html,,0
3802,（株）エコミック,,https://ecomic.jp/ir/news/,,0
3803,イメージ情報開発,,https://image-inf.co.jp/?page_id=224,,0
3804,（株）システム　ディ,,https://www.systemd.co.jp/ir/news,,0
3807,（株）フィスコ,,https://www.fisco.co.jp/news/,,0
3808,（株）オウケイウェイヴ,,https://faq.okwave.co.jp/?site_domain=ir,,0
3810,サイバーステップ,,https://corp.cyberstep.com/ir/ir_news,,1
3814,（株）アルファクス・フード・システム,,https://www.afs.co.jp/category/ir/ir-news.html,,0
3815,（株）メディア工房,,https://www.mkb.ne.jp/ir/ir_news.php,,0
3816,（株）大和コンピューター,,https://www.daiwa-computer.co.jp/jp/ir/news,,0
3817,（株）ＳＲＡホールディングス,,https://www.sra-hd.co.jp/news/tabid37.html?Year=2022&StartMonth=4,,0
3823,ＴＨＥ　ＷＨＹ　ＨＯＷＤＯＣＯＭＰＡＮＹ,,https://www.twhdc.co.jp/ir/news/,,0
3824,メディアファイブ,,https://www.media5.co.jp/ir/,,0
3825,（株）リミックスポイント,,https://www.remixpoint.co.jp/ir/rireki,,1
3826,（株）システムインテグレータ,,https://www.sint.co.jp/ir/news.html,,0
3830,（株）ギガプライズ,,https://www.gigaprize.co.jp/ir/news/,,0
3834,（株）朝日ネット,,https://asahi-net.co.jp/news/,,0
3835,ｅＢＡＳＥ,,https://www.ebase.co.jp/investor/investor01/index.html,,0
3836,（株）アバントグループ,,https://www.avantgroup.com/ja/ir/irnews.html,,0
3837,アドソル日進,,https://www.adniss.jp/ir/news/irnews.html,,0
3839,（株）ＯＤＫソリューションズ,,https://www.odk.co.jp/ir/,,0
3840,パス,,https://www.pathway.co.jp/ir/news.html,,0
3841,（株）ジーダット,,https://www.jedat.co.jp/ir/news-2023/,2023年用,0
3842,（株）ネクストジェン,,https://www.nextgen.co.jp/ir/news/,,0
3843,フリービット,,https://freebit.com/ir/news.html,,0
3844,コムチュア,,https://www.comture.com/ir/irnews.html,,0
3845,（株）アイフリークモバイル,,https://www.i-freek.co.jp/ir/news/,,0
3847,パシフィックシステム,,https://www.pacific-systems.co.jp/ir/news/?year&category&page=1,,0
3848,（株）データ・アプリケーション,,https://www.dal.co.jp/ir/irnews.html,,0
3849,日本テクノ・ラボ,,http://www.ntl.co.jp/ir/,,0
3850,（株）エヌティティデータ・イントラマート,,https://www.intra-mart.jp/ir/news.html,,0
3851,（株）日本一ソフトウェア,,https://nippon1.co.jp/ir/news_release2023.html,2023年用,0
3852,サイバーコム,,https://www.cy-com.co.jp/ir/press/index.html,,0
3853,アステリア,,https://www.asteria.com/jp/date/2023?invest_cat=ir_news,2023年用,1
3854,（株）アイル,,https://www.ill.co.jp/ir/news.html,,0
3856,Ａｂａｌａｎｃｅ,,https://www.abalance.jp/ir_news,,1
3857,（株）ラック,,https://www.lac.co.jp/ir/irnews.html,,0
3858,（株）ユビキタスＡＩ,,https://www.ubiquitous-ai.com/ir/irnews.html,,0
3861,王子ホールディングス,,https://investor.ojiholdings.co.jp/ja/ir/news.html,,1
3863,日本製紙,,https://www.nipponpapergroup.com/news/,,1
3864,三菱製紙,,https://www.mpm.co.jp/ir/#gsc.tab=0,,0
3865,北越コーポレーション,,https://www.hokuetsucorp.com/newsrelease/index.html,,1
3877,中越パルプ工業,,https://www.chuetsu-pulp.co.jp/ir-news,,0
3878,巴川製紙所,,https://www.tomoegawa.co.jp/ir/ir_topic/index.html,,0
3880,大王製紙,,https://www.daio-paper.co.jp/ir/ir_news/,,1
3891,ニッポン高度紙工業,,https://www.kodoshi.co.jp/investor/library/business_reports.html,微妙,0
3892,岡山製紙,,https://okayamaseishi.co.jp/news/,,0
3895,ハビックス,,https://www.havix.co.jp/ir/news.html,,0
3896,阿波製紙,,https://www.awapaper.co.jp/news/,,0
3900,（株）クラウドワークス,,https://crowdworks.co.jp/ir/news/,,0
3901,マークラインズ,,https://www.marklines.com/ja/ir/news/,,0
3902,メディカル・データ・ビジョン,,https://www.mdv.co.jp/ir/news/,,1
3903,（株）ｇｕｍｉ,,https://gu3.co.jp/ir/irnews/,,1
3904,（株）カヤック,,https://www.kayac.com/ir/news,,0
3905,データセクション,,https://www.datasection.co.jp/ir/news,,0
3906,（株）ＡＬＢＥＲＴ,,https://www.albert2005.co.jp/ir/news.html,,1
3907,シリコンスタジオ,,https://www.siliconstudio.co.jp/ir/news.html,,0
3908,（株）コラボス,,https://www.collabos.com/ir/news/,,0
3909,（株）ショーケース,,https://www.showcase-tv.com/ir/irnews/,,0
3910,（株）エムケイシステム,,https://www.mks.jp/company/ir-information/news/,,0
3911,（株）Ａｉｍｉｎｇ,,https://ir.aiming-inc.com/news/,,1
3912,（株）モバイルファクトリー,,https://www.mobilefactory.jp/ir/ir_news/,,0
3913,（株）ｓＭｅｄｉｏ,,https://www.smedio.co.jp/news/index.html,,0
3914,ＪＩＧ－ＳＡＷ,,https://www.jig-saw.com/news/,,0
3915,（株）テラスカイ,,https://www.terrasky.co.jp/news/,,0
3916,デジタルインフォメーションテクノロジー,,https://www.ditgroup.jp/ir/news.html,,0
3917,（株）アイリッジ,,https://iridge.jp/ir/irnews/,,0
3918,ＰＣＩホールディングス,,https://www.pci-h.co.jp/ir/news.html,,0
3920,アイビーシー,,https://www.ibc21.co.jp/ir/,,0
3921,（株）ネオジャパン,,https://www.neo.co.jp/ir/news.html,,0
3922,（株）ＰＲ　ＴＩＭＥＳ,,https://prtimes.co.jp/ir/news.html,,0
3923,（株）ラクス,,https://www.rakus.co.jp/ir/irnews/,,1
3924,（株）ランドコンピュータ,,https://www.rand.co.jp/ir/news.php,,0
3925,（株）ダブルスタンダード,,https://double-std.com/ir_news/ir/news/,,0
3926,（株）オープンドア,,https://www.opendoor.co.jp/ir/news.html,,1
3927,（株）フーバーブレイン,,https://www.fuva-brain.co.jp/IR/irnews.php,,0
3928,（株）マイネット,,https://www.mynet.co.jp/ir/news,,0
3929,ソーシャルワイヤー,,https://www.socialwire.net/ir/news,,0
3930,（株）はてな,,https://hatena.co.jp/ir/news.html,,0
3931,（株）バリューゴルフ,,https://corp.valuegolf.co.jp/ir/news.html,,0
3932,（株）アカツキ,,https://aktsk.jp/ir/news.html,,0
3933,チエル,,https://www.chieru.co.jp/ir/irnews/,,0
3934,（株）ベネフィットジャパン,,https://www.benefitjapan.co.jp/ir/news.html,,0
3935,（株）エディア,,https://edia.co.jp/ir/news/,,0
3936,（株）グローバルウェイ,,https://www.globalway.co.jp/ir-2/news/,,1
3937,（株）Ｕｂｉｃｏｍホールディングス,,https://www.ubicom-hd.com/ja/ir/news.html,,0
3939,（株）カナミックネットワーク,,https://www.kanamic.net/ir/irnews.html,,0
3940,（株）ノムラシステムコーポレーション,,https://www.nomura-system.co.jp/ir/irnews/,,0
3941,レンゴー,,https://www.rengo.co.jp/news/2023/index.html,2023年用,1
3943,大石産業,,https://www.osk.co.jp/ir/irnews.html,,0
3944,古林紙工,,http://www.furubayashi-shiko.co.jp/_ir/press.html,,0
3945,スーパーバッグ,,http://www.superbag.co.jp/ir/news/,,0
3946,トーモク,,https://www.tomoku.co.jp/group/ir/,,0
3947,ダイナパック,,https://www.dynapac-gr.co.jp/ir/news/index.html,,0
3948,光ビジネスフォーム,,http://www.hikaribf.co.jp/info.html,,0
3950,ザ・パック,,https://www.thepack.co.jp/ir/ir_info.html,,0
3951,朝日印刷,,https://www.asahi-pp.co.jp/news/,,0
3952,中央紙器工業,,http://www.mcpack.co.jp/ir/,,0
3953,大村紙業,,http://www.ohmurashigyo.co.jp/ir/ir.html,,0
3954,昭和パックス,,http://www.showa-paxxs.co.jp/top/ir/ir-info/,,0
3955,イムラ封筒,,https://www.imura.co.jp/ir/irdocument.html,,0
3961,シルバーエッグ・テクノロジー,,https://www.silveregg.co.jp/investor-relations/news/,,0
3962,（株）チェンジ,,https://www.change-jp.com/ir/news/?id=top_anchor,,1
3963,（株）シンクロ・フード,,https://www.synchro-food.co.jp/ir/irnews,,1
3964,（株）オークネット,,https://ir.aucnet.co.jp/ja/ir/news.html,,0
3965,（株）キャピタル・アセット・プランニング,,https://www2.cap-net.co.jp/ir/irnews.html,,0
3966,（株）ユーザベース,,https://www.uzabase.com/jp/investors/news-and-library/,,0
3967,（株）エルテス,,https://eltes.co.jp/ir/news/,,0
3968,セグエグループ,,https://segue-g.jp/ir/ir-news/index.html,,0
3969,（株）エイトレッド,,https://www.atled.jp/ir/news/,,0
3970,（株）イノベーション,,https://www.innovation.co.jp/ir/irnews/,,0
3974,（株）ティビィシィ・スキヤツト,,https://www.tbcscat.jp/ir/irnews.html,,0
3976,（株）シャノン,,https://www.shanon.co.jp/ir/irnews/,,0
3977,フュージョン,,https://www.fusion.co.jp/ir/news/,,0
3978,（株）マクロミル,,https://www.macromill.com/ir/news.html,,0
3979,（株）うるる,,https://www.uluru.biz/news,,0
3981,（株）ビーグリー,,https://www.beaglee.com/ir/news/,,0
3983,（株）オロ,,https://www.oro.com/ja/ir/irnews/,,0
3984,（株）ユーザーローカル,,https://ir.userlocal.jp/news/,,0
3985,テモナ,,https://temona.co.jp/ir/news/,,0
3986,（株）ビーブレイクシステムズ,,https://www.bbreak.co.jp/ir/news.html,,0
3987,エコモット,,https://www.ecomott.co.jp/ir/news.html,,0
3988,（株）ＳＹＳホールディングス,,https://www.syshd.co.jp/jp/ir/,,0
3989,シェアリングテクノロジー,,https://www.sharing-tech.co.jp/ir/news/,,1
3990,ＵＵＵＭ,,https://www.uuum.co.jp/ir-news,,1
3991,ウォンテッドリー,,https://wantedlyinc.com/ja/ir/news,,0
3992,（株）ニーズウェル,,https://www.needswell.com/ir/news,,0
3993,（株）ＰＫＳＨＡ　Ｔｅｃｈｎｏｌｏｇｙ,,https://www.pkshatech.com/ir/news/,,1
3994,（株）マネーフォワード,,https://corp.moneyforward.com/ir/library/,,1
3995,（株）ＳＫＩＹＡＫＩ,,https://skiyaki.com/contents/ir-news,,0
3996,サインポスト,,https://signpost.co.jp/newstop,,0
3997,（株）トレードワークス,,https://www.tworks.co.jp/ir/news.html,,0
3998,（株）すららネット,,https://surala.jp/ir/news.html,,0
3999,ナレッジスイート,,https://ksj.co.jp/ir/irnews.html,,0
4004,昭和電工,,https://www.resonac.com/jp/ir,,1
4005,住友化学,,https://www.sumitomo-chem.co.jp/ir/news/,,1
4008,住友精化,,https://www.sumitomoseika.co.jp/ir/ir_news/,,0
4011,（株）ヘッドウォータース,,https://www.headwaters.co.jp/ir/news/,,0
4012,（株）アクシス,,https://www.axis-net.co.jp/ir-news/ir_newsinfo,,0
4013,勤次郎,,https://www.kinjiro-e.com/ir/news/,,0
4014,（株）カラダノート,,https://corp.karadanote.jp/ir/irnews,,0
4015,アララ,,https://www.arara.com/ir/library/?yr=2022&tp=0,,0
4016,ＭＩＴホールディングス,,https://mit-hd.co.jp/ir-information/news/,,0
4017,（株）クリーマ,,https://www.creema.co.jp/ir/news/index.html,,0
4018,（株）Ｇｅｏｌｏｃａｔｉｏｎ　Ｔｅｃｈｎ,,https://www.geolocation.co.jp/ir/news/,,0
4019,（株）スタメン,,https://stmn.co.jp/content,,0
4020,ビートレンド,,https://www.betrend.com/ir/news/,,0
4021,日産化学,,https://www.nissanchem.co.jp/news_release/index.html,,1
4022,ラサ工業,,https://www.rasa.co.jp/index.html,,0
4023,（株）クレハ,,https://www.kureha.co.jp/newsrelease/ir/,,0
4025,多木化学,,https://www.takichem.co.jp/ir/news/index.html,令和のみ,0
4026,神島化学工業,,https://konoshima.co.jp/corp/index.html,,0
4027,テイカ,,https://www.tayca.co.jp/,,0
4028,石原産業,,https://www.iskweb.co.jp/topics/?tab=ir,,1
4031,片倉コープアグリ,,https://www.katakuraco-op.com/ir/,,0
4041,日本曹達,,https://www.nippon-soda.co.jp/whats_new.html,,0
4042,東ソー,,https://www.tosoh.co.jp/news/,,1
4043,トクヤマ,,https://www.tokuyama.co.jp/ir/,,1
4044,セントラル硝子,,https://www.cgco.co.jp/ir/materials/disclosedinfo.html,,0
4045,東亜合成,,https://www.toagosei.co.jp/news/2023/,2023年用,0
4046,（株）大阪ソーダ,,http://www.osaka-soda.co.jp/ja/release/index.html,,0
4047,関東電化工業,,https://www.kantodenka.co.jp/ir/news.html,,1
4051,ＧＭＯフィナンシャルゲート,,https://gmo-fg.com/ir/news/index.html,,0
4052,フィーチャ,,https://ficha.jp/ir/news/,,0
4053,（株）Ｓｕｎ　Ａｓｔｅｒｉｓｋ,,https://sun-asterisk.com/ir/news/,,1
4054,日本情報クリエイト,,https://www.n-create.co.jp/pr/ir/news/,,0
4055,ティアンドエス,,https://www.tecsvc.co.jp/ir-info/ir-news/,,0
4056,ニューラルポケット,,https://www.neuralpocket.com/ir/irnews/index.html,,0
4057,（株）インターファクトリー,,https://ir.interfactory.co.jp/ja/ir/news.html,,0
4058,トヨクモ,,https://www.toyokumo.co.jp/ir,,0
4059,（株）まぐまぐ,,https://www.mag2.co.jp/ir/irnews,,0
4060,ｒａｋｕｍｏ,,https://investor.rakumo.com/ja/ir/news.html,,0
4061,デンカ,,https://www.denka.co.jp/ir/news/,,1
4062,イビデン,,https://www.ibiden.co.jp/ir/news/,,1
4063,信越化学工業,,https://www.shinetsu.co.jp/jp/ir/,,1
4064,日本カーバイド工業,,https://www.carbide.co.jp/ir/news/,,0
4068,ベイシス,,https://www.basis-corp.jp/ir/news.html,,0
4069,（株）ＢｌｕｅＭｅｍｅ,,https://www.bluememe.jp/ir/irnews/,,0
4071,（株）プラスアルファ・コンサルティング,,https://www.pa-consul.co.jp/ir/irnews/,,0
4072,（株）電算システムホールディングス,,https://www.ds-hd.co.jp/ir/news/,,0
4073,（株）ジィ・シィ企画,,https://www.gck.co.jp/ir/irnews/,,0
4074,（株）ラキール,,https://www.lakeel.com/ja/ir/irnews.html,,0
4075,ブレインズテクノロジー,,https://www.brains-tech.co.jp/ir/news/,,0
4076,（株）シイエヌエス,,https://www.cns.co.jp/ir/news/,,0
4078,堺化学工業,,https://www.sakai-chem.co.jp/jp/news_release.php?category=IR,,0
4080,田中化学研究所,,https://www.tanaka-chem.co.jp/ir/news/index.html,,1
4082,第一稀元素化学工業,,https://www.dkkk.co.jp/ir/news.html,,0
4088,エア・ウォーター,,https://www.awi.co.jp/ja/ir/news.html,,1
4091,日本酸素ホールディングス,,https://www.nipponsanso-hd.co.jp/ir/news/,,1
4092,日本化学工業,,https://www.nippon-chem.co.jp/ir/ir_news.html,,0
4093,東邦アセチレン,,https://www.toho-ace.co.jp/ir/news/,,0
4094,日本化学産業,,https://www.nihonkagakusangyo.co.jp/ir/news/,,0
4095,日本パーカライジング,,https://www.parker.co.jp/topics/investor,,0
4097,高圧ガス工業,,https://www.koatsugas.co.jp/ir/notice/,微妙,0
4098,チタン工業,,http://www.titankogyo.co.jp/newsrelease/,,0
4099,四国化成工業,,https://www.shikoku.co.jp/news/,,0
4100,戸田工業,,https://www.todakogyo.co.jp/news/,,0
4102,丸尾カルシウム,,https://www.maruo-cal.co.jp/html/news.html,,0
4107,伊勢化学工業,,https://www.isechem.co.jp/ir/release/,,0
4109,ステラケミファ,,https://www.stella-chemifa.co.jp/ir/news/2023/,2023年用,0
4112,保土谷化学工業,,https://www.hodogaya.co.jp/investors/news/,,0
4113,田岡化学工業,,https://www.taoka-chem.co.jp/ir/news.html,,0
4114,日本触媒,,https://www.shokubai.co.jp/ja/ir/news/,,0
4116,大日精化工業,,https://www.daicolor.co.jp/ir/news/index.html,,0
4118,カネカ,,https://www.kaneka.co.jp/topics/ir_news/2023/,2023年用,1
4119,日本ピグメント,,https://www.pigment.co.jp/ir/enquete/,,0
4120,スガイ化学工業,,https://www.sugai-chem.co.jp/ir/,,0
4124,大阪油化工業,,https://www.osaka-yuka.co.jp/ir/news/,,0
4125,三和油化工業,,https://www.sanwayuka.co.jp/ir/irnews/,,0
4151,協和キリン,,https://ir.kyowakirin.com/ja/news.html,,1
4165,（株）プレイド,,https://plaid.co.jp/ir/news/,,1
4166,かっこ,,https://cacco.co.jp/ir/news/,,0
4167,（株）ココペリ,,https://www.kokopelli-inc.com/ir/irnews/,,0
4168,（株）ヤプリ,,https://yappli.co.jp/ir/irnews/,,0
4169,ＥＮＥＣＨＡＮＧＥ,,https://enechange.co.jp/ir/news/,,1
4170,（株）Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,,https://kaizenplatform.co.jp/ir/news/,,1
4171,（株）グローバルインフォメーション,,https://corporate.gii.co.jp/ir/news/,,0
4172,東和ハイシステム,,https://www.towa-hi-sys.co.jp/company/company-ir/irnews,,0
4173,（株）ＷＡＣＵＬ,,https://wacul.co.jp/ir/library/,,0
4174,（株）アピリッツ,,https://appirits.com/ir/irnews.html,,0
4175,（株）ｃｏｌｙ,,https://colyinc.com/ir/irnews/,,0
4176,（株）ココナラ,,https://coconala.co.jp/ir/news/,,1
4177,（株）ｉ‐ｐｌｕｇ,,https://i-plug.co.jp/ir/backno.html,,0
4178,Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,,https://sharing-innovations.com/news-cat/investor-relations/,,0
4179,（株）ジーネクスト,,https://www.gnext.co.jp/ir/irnews/,,0
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,,https://ir.appier.com/ja/irnews/,,1
4182,三菱瓦斯化学,,https://www.mgc.co.jp/ir/news/,,1
4183,三井化学,,https://jp.mitsuichemicals.com/jp/ir/information/index.htm,,1
4185,ＪＳＲ,,https://www.jsr.co.jp/ir/ir_news.html,,1
4186,東京応化工業,,https://www.tok.co.jp/ir/irnews/2023,2023年用,1
4187,大阪有機化学工業,,https://www.ooc.co.jp/ir/news/2023,2023年用,0
4188,三菱ケミカルグループ,,https://www.mitsubishichem-hd.co.jp/ir/indication_info/index.html,,1
4189,ＫＨネオケム,,https://www.khneochem.co.jp/ir/news/,,0
4192,スパイダープラス,,https://spiderplus.co.jp/ir/news/,,1
4193,（株）ファブリカコミュニケーションズ,,https://www.fabrica-com.co.jp/ir/news,,0
4194,ビジョナル,,https://www.visional.inc/ja/ir/ir_news.html,,1
4196,（株）ネオマーケティング,,https://neo-m.jp/ir/news/,,0
